loc,lat,lon
สถานีรถไฟใต้ดินท่าพระ,13.729653,100.474163
สถานีรถไฟใต้ดินจรัญฯ 13,13.73961,100.47077
สถานีรถไฟใต้ดินไฟฉาย ถนน จรัญสนิทวงศ์ แขวงบ้านช่างหล่อ เขตบางกอกน้อย กรุงเทพมหานคร 10700,13.7550791,100.4692286
สถานีรถไฟใต้ดินบางขุนนนท์,13.7631942,100.473206
สถานีรถไฟใต้ดินบางยี่ขัน,13.7774358,100.4852436
สถานีรถไฟใต้ดินสิรินธร,13.7840083,100.4934932
สถานีรถไฟใต้ดินบางพลัด,13.7924323,100.5050274
สถานีรถไฟใต้ดินบางอ้อ,13.7989,100.50968
สถานีรถไฟใต้ดินบางโพ,13.806386,100.521042
สถานีรถไฟใต้ดินเตาปูน,13.8061278,100.530761
สถานีรถไฟใต้ดินบางซื่อ,13.80313166,100.5393519
สถานีรถไฟใต้ดิน กำแพงเพชร MRT,13.7977896,100.5475589
สถานีรถไฟใต้ดินสวนจตุจักร,13.80257,100.55378
สถานีรถไฟใต้ดินพหลโยธิน,13.8142366,100.5601484
สถานีรถไฟใต้ดิน ลาดพร้าว MRT,13.8061019,100.5736521
สถานีรัชดาภิเษก,13.799141,100.574613
สถานีรถไฟใต้ดินสุทธิสาร,13.7898476,100.5741786
สถานีห้วยขวาง,13.778505,100.573645
สถานีรถไฟใต้ดินศูนย์วัฒนธรรมแห่งประเทศไทย,13.7663,100.57026
สถานี พระราม 9 MRT ,13.7577699,100.5651878
"7600 Phetchaburi Rd, Bang Kapi, Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand",13.7485118,100.563266
สถานีสุขุมวิท,13.73845642,100.561462
สถานีรถไฟใต้ดินศูนย์การประชุมแห่งชาติสิริกิติ์,13.7231519,100.5601019
สถานีคลองเตย,13.722292,100.553916
สถานีลุมพินี,13.725769,100.545678
สถานีสีลม,13.729534,100.536631
สถานีรถไฟใต้ดินสามย่าน,13.7323496,100.5299928
สถานีหัวลำโพง,13.73754,100.517073
สถานีรถไฟใต้ดินวัดมังกร,13.74204,100.51021
สถานีรถไฟใต้ดินสามยอด,13.7472014,100.5022359
สถานีรถไฟใต้ดินสนามไชย,13.7438643,100.4946614
สถานีรถไฟใต้ดินอิสรภาพ,13.7383192,100.4852881
สถานีรถไฟใต้ดินบางไผ่,13.724613,100.465214
สถานีรถไฟใต้ดินบางหว้า,13.7203785,100.4571807
สถานีรถไฟใต้ดินเพชรเกษม 48,13.7155209,100.4456141
สถานีรถไฟใต้ดินภาษีเจริญ 607 ถนน เพชรเกษมสายเก่า แขวงบางหว้า เขตภาษีเจริญ กรุงเทพมหานคร 10160,13.7128776,100.4341782
สถานีรถไฟใต้ดินบางแค แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160,13.7119364,100.4223971
สถานีรถไฟใต้ดินหลักสอง 13 ซ. เพชรเกษม 82 แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160,13.7109552,100.4100241
