loc,lat,lon
สถานีสนามกีฬาแห่งชาติ,13.746473,100.529073
สถานีรถไฟฟ้าสยาม แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330,13.7456058,100.5341187
สถานีราชดำริ,13.73945,100.53944
สถานีรถไฟใต้ดินศาลาแดง ถนน สีลม แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,13.7284782,100.5341135
สถานีช่องนนทรี,13.723718,100.5295147
สถานีเซนต์หลุยส์,13.72091,100.52692
สถานีสุรศักดิ์,13.719228,100.5215297
สถานีสะพานตากสิน,13.7188,100.51409
สถานีกรุงธนบุรี,13.72085,100.50272
สถานีวงเวียนใหญ่,13.72105,100.49523
สถานีโพธิ์นิมิตร,13.71916,100.48584
สถานีตลาดพลู,13.7142104,100.4768237
สถานีวุฒากาศ,13.71307,100.46884
สถานีบางหว้า,13.7207756,100.4577677
