sid,sname,stype,lat,lon,city,Line,note
bts-01,สถานีหมอชิต,bts,13.80256799,100.5537872,BKK,,
bts-02,สถานีสะพานควาย,bts,13.79379363,100.5496894,BKK,,
bts-03,สถานีอารีย์,bts,13.77969131,100.5446164,BKK,,
bts-04,สถานีสนามเป้า,bts,13.7726304,100.542052,BKK,,
bts-05,สถานีอนุเสาวรีย์ชัย,bts,13.76274413,100.5370461,BKK,,
bts-06,สถานีพญาไท,bts,13.7569323,100.5337886,BKK,,
bts-07,สถานีราชเทวี,bts,13.75185959,100.5315462,BKK,,
bts-08,สถานีสนามกีฬาแห่งชาติ,bts,13.74644433,100.5291765,BKK,,
bts-09,สถานีสยาม,bts,13.74552822,100.5345838,BKK,,
bts-10,สถานีราชดำริ,bts,13.73943332,100.5394308,BKK,,
bts-11,สถานีศาลาแดง,bts,13.72850163,100.5343602,BKK,,
bts-12,สถานีช่องนนทรีย์,bts,13.72375412,100.5293344,BKK,,
bts-13,สถานีสุรศักดิ์,bts,13.71920104,100.5214269,BKK,,
bts-14,สถานีสะพานตากสิน,bts,13.71879181,100.5140854,BKK,,
bts-15,สถานีชิดลม,bts,13.74405874,100.5431584,BKK,,
bts-16,สถานีเพลินจิต,bts,13.74302019,100.5488786,BKK,,
bts-17,สถานีนานา,bts,13.74050501,100.5554063,BKK,,
bts-18,สถานีอโศก,bts,13.73701969,100.5603525,BKK,,
bts-19,สถานีพร้อมพงษ์,bts,13.73041465,100.5697156,BKK,,
bts-20,สถานีทองหล่อ,bts,13.72421188,100.5785132,BKK,,
bts-21,สถานีเอกมัย,bts,13.71952012,100.5850964,BKK,,
bts-22,สถานีพระโขนง,bts,13.71515436,100.5912138,BKK,,
bts-23,สถานีอ่อนนุช,bts,13.70561724,100.6009904,BKK,,
bts-24,สถานีกรุงธนบุรี,bts,13.72086993,100.5026142,BKK,,
bts-25,สถานีวงเวียนใหญ่,bts,13.72101742,100.4951463,BKK,,
bts-26,สถานีบางจาก,bts,13.69672807,100.6053383,BKK,,
bts-27,สถานีปุณวิถี,bts,13.68926728,100.6089848,BKK,,
bts-28,สถานีอุดมสุข,bts,13.67985895,100.6094533,BKK,,
bts-29,สถานีบางนา,bts,13.66813192,100.6046526,BKK,,
bts-30,สถานีแบริ่ง,bts,13.66106141,100.6017515,BKK,,
bts-31,สถานีโพธิ์นิมิตร,bts,13.71918556,100.4859368,BKK,,
bts-32,สถานีตลาดพลู,bts,13.71420262,100.4767679,BKK,,
