sid,name_e,name_t
N24,Khu Khot,คูคต
N23,Yaek Kor Por Aor,แยกคปอ.
N22,Royal Thai Air Force Museum,พิพิธภัณฑ์กองทัพอากาศ
N21,Bhumibol Adulyadej Hospital,โรงพยาบาลภูมิพล-อดุลยเดช
N20,Saphan Mai,สะพานใหม่
N19,Sai Yud,สายหยุด
N18,Phahon Yothin 59,พหลโยธิน 59
N17,Wat Phra Sri Mahathat,วัดพระศรีมหาธาตุ
N16,11th Infantry Regiment,กรมทหารราบที่ 11
N15,Bang Bua,บางบัว
N14,Royal Forest Department,กรมป่าไม้
N13,Kasetsart University,มหาวิทยาลัยเกษตรศาสตร์
N12,Sena Nikhom,เสนานิคม
N11,Ratchayothin,รัชโยธิน
N10,Phahon Yothin 24,พหลโยธิน 24
N09,Ha Yaek Lat Phrao,ห้าแยกลาดพร้าว
N08,Mo Chit,หมอชิต
N07,Saphan Khwai,สะพานควาย
N05,Ari,อารีย์
N04,Sanam Pao,สนามเป้า
N03,Victory Monument,อนุสาวรีย์ชัยสมรภูมิ
N02,Phaya Thai,พญาไท
N01,Ratchathewi,ราชเทวี
CEN_SU,Siam,สยาม
E01,Chit Lom,ชิดลม
E02,Phloen Chit,เพลินจิต
E03,Nana,นานา
E04,Asok,อโศก
E05,Phrom Phong,พร้อมพงษ์
E06,Thong Lo,ทองหล่อ
E07,Ekkamai,เอกมัย
E08,Phra Khanong,พระโขนง
E09,On Nut,อ่อนนุช
E10,Bang Chak,บางจาก
E11,Punnawithi,ปุณณวิถี
E12,Udom Suk,อุดมสุข
E13,Bang Na,บางนา
E14,Bearing,แบริ่ง
E15,Samrong,สำโรง
E16,Pu Chao,ปู่เจ้า
E17,Chang Erawan,ช้างเอราวัณ
E18,Royal Thai Naval Academy,โรงเรียนนายเรือ
E19,Pak Nam,ปากน้ำ
E20,Srinagarindra,ศรีนครินทร์
E21,Phraek Sa,แพรกษา
E22,Sai Luat,สายลวด
E23,Kheha,เคหะฯ
