sid,name_e,name_t,lat,lon
BL01,Tha Phra,ท่าพระ,13.729653,100.474163
BL02,Charan 13,จรัญฯ 13,13.73961,100.47077
BL03,Fai Chai,ไฟฉาย,13.7550791,100.4692286
BL04,Bang Khun Non,บางขุนนนท์,13.7631942,100.473206
BL05,Bang Yi Khan,บางยี่ขัน,13.7774358,100.4852436
BL06,Sirindhorn,สิรินธร,13.7840083,100.4934932
BL07,Bang Phlat,บางพลัด,13.7924323,100.5050274
BL08,Bang O,บางอ้อ,13.7989,100.50968
BL09,Bang Pho,บางโพ,13.806386,100.521042
BL10,Tao Poon,เตาปูน,13.8061278,100.530761
BL11,Bang Sue,บางซื่อ,13.80313166,100.5393519
BL12,Kamphaeng Phet,กำแพงเพชร,13.7977896,100.5475589
BL13,Chatuchak Park,สวนจตุจักร,13.80257,100.55378
BL14,Phahon Yothin,พหลโยธิน,13.8142366,100.5601484
BL15,Lat Phrao,ลาดพร้าว,13.8061019,100.5736521
BL16,Ratchadaphisek,รัชดาภิเษก,13.799141,100.574613
BL17,Sutthisan,สุทธิสาร,13.7898476,100.5741786
BL18,Huai Khwang,ห้วยขวาง,13.778505,100.573645
BL19,Thailand Cultural Centre,ศูนย์วัฒนธรรมแห่งประเทศไทย,13.7663,100.57026
BL20,Phra Ram 9,พระราม 9,13.7577699,100.5651878
BL21,Phetchaburi,เพชรบุรี,13.7485118,100.563266
BL22,Sukhumvit,สุขุมวิท,13.73845642,100.561462
BL23,Queen Sirikit National Convention Centre,ศูนย์การประชุมแห่งชาติสิริกิติ์,13.7231519,100.5601019
BL24,Khlong Toei,คลองเตย,13.722292,100.553916
BL25,Lumphini,ลุมพินี,13.725769,100.545678
BL26,Si Lom,สีลม,13.729534,100.536631
BL27,Sam Yan,สามย่าน,13.7323496,100.5299928
BL28,Hua Lamphong,หัวลำโพง,13.73754,100.517073
BL29,Wat Mangkon,วัดมังกร,13.74204,100.51021
BL30,Sam Yot,สามยอด,13.7472014,100.5022359
BL31,Sanam Chai,สนามไชย,13.7438643,100.4946614
BL32,Itsaraphap,อิสรภาพ,13.7383192,100.4852881
BL33,Bang Phai,บางไผ่,13.724613,100.465214
BL34,Bang Wa,บางหว้า,13.7203785,100.4571807
BL35,Phetkasem 48,เพชรเกษม 48,13.7155209,100.4456141
BL36,Phasi Charoen,ภาษีเจริญ,13.7128776,100.4341782
BL37,Bang Khae,บางแค,13.7119364,100.4223971
BL38,Lak Song,หลักสอง,13.7109552,100.4100241
