sid,name_e,name_t
PP01,Khlong Bang Phai,คลองบางไผ่
PP02,Talad Bang Yai,ตลาดบางใหญ่
PP03,Sam Yaek Bang Yai,สามแยกบางใหญ่
PP04,Bang Phlu,บางพลู
PP05,Bang Rak Yai,บางรักใหญ่
PP06,Bang Rak Noi Tha It,บางรักน้อย-ท่าอิฐ
PP07,Sai Ma,ไทรม้า
PP08,Phra Nang Klao Bridge,สะพานพระนั่งเกล้า
PP09,Yaek Nonthaburi 1,แยกนนทบุรี 1
PP10,Bang Krasor,บางกระสอ
PP11,Nonthaburi Civic Center,ศูนย์ราชการนนทบุรี
PP12,Ministry of Public Health,กระทรวงสาธารณสุข
PP13,Yaek Tiwanon,แยกติวานนท์
PP14,Wong Sawang,วงศ์สว่าง
PP15,Bang Son,บางซ่อน
PP16,Tao Poon,เตาปูน
