train_num,route_id,direction,sid1,sname1,sid2,sname2,ts1,ts2,mins,hrs,day_of_week
1,BTS-Silom,back,S12,Bang Wa,S11,Wutthakat,05:30:00,05:32:00,2.0,5,Saturday
1,BTS-Silom,back,S11,Wutthakat,S10,Talat Phlu,05:32:00,05:34:00,2.0,5,Saturday
1,BTS-Silom,back,S10,Talat Phlu,S09,Pho Nimit,05:34:00,05:36:00,2.0,5,Saturday
1,BTS-Silom,back,S09,Pho Nimit,S08,Wongwian Yai,05:36:00,05:38:00,2.0,5,Saturday
1,BTS-Silom,back,S08,Wongwian Yai,S07,Krung Thon Buri,05:38:00,05:39:00,1.0,5,Saturday
1,BTS-Silom,back,S07,Krung Thon Buri,S06,Saphan Taksin,05:39:00,05:41:00,2.0,5,Saturday
1,BTS-Silom,back,S06,Saphan Taksin,S05,Surasak,05:41:00,05:44:00,3.0,5,Saturday
1,BTS-Silom,back,S05,Surasak,S04,Saint Louis,05:44:00,05:45:00,1.0,5,Saturday
1,BTS-Silom,back,S04,Saint Louis,S03,Chong Nonsi,05:45:00,05:47:00,2.0,5,Saturday
1,BTS-Silom,back,S03,Chong Nonsi,S02,Sala Daeng,05:47:00,05:49:00,2.0,5,Saturday
1,BTS-Silom,back,S02,Sala Daeng,S01,Ratchadamri,05:49:00,05:52:00,3.0,5,Saturday
1,BTS-Silom,back,S01,Ratchadamri,CEN_SI,Siam,05:52:00,05:54:00,2.0,5,Saturday
1,BTS-Silom,back,CEN_SI,Siam,W01,National Stadium,05:54:00,05:55:00,1.0,5,Saturday
2,BTS-Silom,back,S12,Bang Wa,S11,Wutthakat,05:38:00,05:40:00,2.0,5,Saturday
2,BTS-Silom,back,S11,Wutthakat,S10,Talat Phlu,05:40:00,05:42:00,2.0,5,Saturday
2,BTS-Silom,back,S10,Talat Phlu,S09,Pho Nimit,05:42:00,05:44:00,2.0,5,Saturday
2,BTS-Silom,back,S09,Pho Nimit,S08,Wongwian Yai,05:44:00,05:46:00,2.0,5,Saturday
2,BTS-Silom,back,S08,Wongwian Yai,S07,Krung Thon Buri,05:46:00,05:47:00,1.0,5,Saturday
2,BTS-Silom,back,S07,Krung Thon Buri,S06,Saphan Taksin,05:47:00,05:49:00,2.0,5,Saturday
2,BTS-Silom,back,S06,Saphan Taksin,S05,Surasak,05:49:00,05:52:00,3.0,5,Saturday
2,BTS-Silom,back,S05,Surasak,S04,Saint Louis,05:52:00,05:53:00,1.0,5,Saturday
2,BTS-Silom,back,S04,Saint Louis,S03,Chong Nonsi,05:53:00,05:55:00,2.0,5,Saturday
2,BTS-Silom,back,S03,Chong Nonsi,S02,Sala Daeng,05:55:00,05:57:00,2.0,5,Saturday
2,BTS-Silom,back,S02,Sala Daeng,S01,Ratchadamri,05:57:00,06:00:00,3.0,5,Saturday
2,BTS-Silom,back,S01,Ratchadamri,CEN_SI,Siam,06:00:00,06:02:00,2.0,6,Saturday
2,BTS-Silom,back,CEN_SI,Siam,W01,National Stadium,06:02:00,06:03:00,1.0,6,Saturday
3,BTS-Silom,back,S12,Bang Wa,S11,Wutthakat,05:45:00,05:47:00,2.0,5,Saturday
3,BTS-Silom,back,S11,Wutthakat,S10,Talat Phlu,05:47:00,05:49:00,2.0,5,Saturday
3,BTS-Silom,back,S10,Talat Phlu,S09,Pho Nimit,05:49:00,05:51:00,2.0,5,Saturday
3,BTS-Silom,back,S09,Pho Nimit,S08,Wongwian Yai,05:51:00,05:53:00,2.0,5,Saturday
3,BTS-Silom,back,S08,Wongwian Yai,S07,Krung Thon Buri,05:53:00,05:54:00,1.0,5,Saturday
3,BTS-Silom,back,S07,Krung Thon Buri,S06,Saphan Taksin,05:54:00,05:56:00,2.0,5,Saturday
3,BTS-Silom,back,S06,Saphan Taksin,S05,Surasak,05:56:00,05:59:00,3.0,5,Saturday
3,BTS-Silom,back,S05,Surasak,S04,Saint Louis,05:59:00,06:00:00,1.0,5,Saturday
3,BTS-Silom,back,S04,Saint Louis,S03,Chong Nonsi,06:00:00,06:02:00,2.0,6,Saturday
3,BTS-Silom,back,S03,Chong Nonsi,S02,Sala Daeng,06:02:00,06:04:00,2.0,6,Saturday
3,BTS-Silom,back,S02,Sala Daeng,S01,Ratchadamri,06:04:00,06:07:00,3.0,6,Saturday
3,BTS-Silom,back,S01,Ratchadamri,CEN_SI,Siam,06:07:00,06:09:00,2.0,6,Saturday
3,BTS-Silom,back,CEN_SI,Siam,W01,National Stadium,06:09:00,06:10:00,1.0,6,Saturday
4,BTS-Silom,back,S12,Bang Wa,S11,Wutthakat,05:52:00,05:54:00,2.0,5,Saturday
4,BTS-Silom,back,S11,Wutthakat,S10,Talat Phlu,05:54:00,05:56:00,2.0,5,Saturday
4,BTS-Silom,back,S10,Talat Phlu,S09,Pho Nimit,05:56:00,05:58:00,2.0,5,Saturday
4,BTS-Silom,back,S09,Pho Nimit,S08,Wongwian Yai,05:58:00,06:00:00,2.0,5,Saturday
4,BTS-Silom,back,S08,Wongwian Yai,S07,Krung Thon Buri,06:00:00,06:01:00,1.0,6,Saturday
4,BTS-Silom,back,S07,Krung Thon Buri,S06,Saphan Taksin,06:01:00,06:03:00,2.0,6,Saturday
4,BTS-Silom,back,S06,Saphan Taksin,S05,Surasak,06:03:00,06:06:00,3.0,6,Saturday
4,BTS-Silom,back,S05,Surasak,S04,Saint Louis,06:06:00,06:07:00,1.0,6,Saturday
4,BTS-Silom,back,S04,Saint Louis,S03,Chong Nonsi,06:07:00,06:09:00,2.0,6,Saturday
4,BTS-Silom,back,S03,Chong Nonsi,S02,Sala Daeng,06:09:00,06:11:00,2.0,6,Saturday
4,BTS-Silom,back,S02,Sala Daeng,S01,Ratchadamri,06:11:00,06:14:00,3.0,6,Saturday
4,BTS-Silom,back,S01,Ratchadamri,CEN_SI,Siam,06:14:00,06:16:00,2.0,6,Saturday
4,BTS-Silom,back,CEN_SI,Siam,W01,National Stadium,06:16:00,06:17:00,1.0,6,Saturday
5,BTS-Silom,back,S12,Bang Wa,S11,Wutthakat,05:59:00,06:01:00,2.0,5,Saturday
5,BTS-Silom,back,S11,Wutthakat,S10,Talat Phlu,06:01:00,06:03:00,2.0,6,Saturday
5,BTS-Silom,back,S10,Talat Phlu,S09,Pho Nimit,06:03:00,06:05:00,2.0,6,Saturday
5,BTS-Silom,back,S09,Pho Nimit,S08,Wongwian Yai,06:05:00,06:07:00,2.0,6,Saturday
5,BTS-Silom,back,S08,Wongwian Yai,S07,Krung Thon Buri,06:07:00,06:08:00,1.0,6,Saturday
5,BTS-Silom,back,S07,Krung Thon Buri,S06,Saphan Taksin,06:08:00,06:10:00,2.0,6,Saturday
5,BTS-Silom,back,S06,Saphan Taksin,S05,Surasak,06:10:00,06:13:00,3.0,6,Saturday
5,BTS-Silom,back,S05,Surasak,S04,Saint Louis,06:13:00,06:14:00,1.0,6,Saturday
5,BTS-Silom,back,S04,Saint Louis,S03,Chong Nonsi,06:14:00,06:16:00,2.0,6,Saturday
5,BTS-Silom,back,S03,Chong Nonsi,S02,Sala Daeng,06:16:00,06:18:00,2.0,6,Saturday
5,BTS-Silom,back,S02,Sala Daeng,S01,Ratchadamri,06:18:00,06:21:00,3.0,6,Saturday
5,BTS-Silom,back,S01,Ratchadamri,CEN_SI,Siam,06:21:00,06:23:00,2.0,6,Saturday
5,BTS-Silom,back,CEN_SI,Siam,W01,National Stadium,06:23:00,06:24:00,1.0,6,Saturday
6,BTS-Silom,back,S12,Bang Wa,S11,Wutthakat,06:06:00,06:08:00,2.0,6,Saturday
6,BTS-Silom,back,S11,Wutthakat,S10,Talat Phlu,06:08:00,06:10:00,2.0,6,Saturday
6,BTS-Silom,back,S10,Talat Phlu,S09,Pho Nimit,06:10:00,06:12:00,2.0,6,Saturday
6,BTS-Silom,back,S09,Pho Nimit,S08,Wongwian Yai,06:12:00,06:14:00,2.0,6,Saturday
6,BTS-Silom,back,S08,Wongwian Yai,S07,Krung Thon Buri,06:14:00,06:15:00,1.0,6,Saturday
6,BTS-Silom,back,S07,Krung Thon Buri,S06,Saphan Taksin,06:15:00,06:17:00,2.0,6,Saturday
6,BTS-Silom,back,S06,Saphan Taksin,S05,Surasak,06:17:00,06:20:00,3.0,6,Saturday
6,BTS-Silom,back,S05,Surasak,S04,Saint Louis,06:20:00,06:21:00,1.0,6,Saturday
6,BTS-Silom,back,S04,Saint Louis,S03,Chong Nonsi,06:21:00,06:23:00,2.0,6,Saturday
6,BTS-Silom,back,S03,Chong Nonsi,S02,Sala Daeng,06:23:00,06:25:00,2.0,6,Saturday
6,BTS-Silom,back,S02,Sala Daeng,S01,Ratchadamri,06:25:00,06:28:00,3.0,6,Saturday
6,BTS-Silom,back,S01,Ratchadamri,CEN_SI,Siam,06:28:00,06:30:00,2.0,6,Saturday
6,BTS-Silom,back,CEN_SI,Siam,W01,National Stadium,06:30:00,06:31:00,1.0,6,Saturday
7,BTS-Silom,back,S12,Bang Wa,S11,Wutthakat,06:13:00,06:15:00,2.0,6,Saturday
7,BTS-Silom,back,S11,Wutthakat,S10,Talat Phlu,06:15:00,06:17:00,2.0,6,Saturday
7,BTS-Silom,back,S10,Talat Phlu,S09,Pho Nimit,06:17:00,06:19:00,2.0,6,Saturday
7,BTS-Silom,back,S09,Pho Nimit,S08,Wongwian Yai,06:19:00,06:21:00,2.0,6,Saturday
7,BTS-Silom,back,S08,Wongwian Yai,S07,Krung Thon Buri,06:21:00,06:22:00,1.0,6,Saturday
7,BTS-Silom,back,S07,Krung Thon Buri,S06,Saphan Taksin,06:22:00,06:24:00,2.0,6,Saturday
7,BTS-Silom,back,S06,Saphan Taksin,S05,Surasak,06:24:00,06:27:00,3.0,6,Saturday
7,BTS-Silom,back,S05,Surasak,S04,Saint Louis,06:27:00,06:28:00,1.0,6,Saturday
7,BTS-Silom,back,S04,Saint Louis,S03,Chong Nonsi,06:28:00,06:30:00,2.0,6,Saturday
7,BTS-Silom,back,S03,Chong Nonsi,S02,Sala Daeng,06:30:00,06:32:00,2.0,6,Saturday
7,BTS-Silom,back,S02,Sala Daeng,S01,Ratchadamri,06:32:00,06:35:00,3.0,6,Saturday
7,BTS-Silom,back,S01,Ratchadamri,CEN_SI,Siam,06:35:00,06:37:00,2.0,6,Saturday
7,BTS-Silom,back,CEN_SI,Siam,W01,National Stadium,06:37:00,06:38:00,1.0,6,Saturday
8,BTS-Silom,back,S12,Bang Wa,S11,Wutthakat,06:20:00,06:22:00,2.0,6,Saturday
8,BTS-Silom,back,S11,Wutthakat,S10,Talat Phlu,06:22:00,06:24:00,2.0,6,Saturday
8,BTS-Silom,back,S10,Talat Phlu,S09,Pho Nimit,06:24:00,06:26:00,2.0,6,Saturday
8,BTS-Silom,back,S09,Pho Nimit,S08,Wongwian Yai,06:26:00,06:28:00,2.0,6,Saturday
8,BTS-Silom,back,S08,Wongwian Yai,S07,Krung Thon Buri,06:28:00,06:29:00,1.0,6,Saturday
8,BTS-Silom,back,S07,Krung Thon Buri,S06,Saphan Taksin,06:29:00,06:31:00,2.0,6,Saturday
8,BTS-Silom,back,S06,Saphan Taksin,S05,Surasak,06:31:00,06:34:00,3.0,6,Saturday
8,BTS-Silom,back,S05,Surasak,S04,Saint Louis,06:34:00,06:35:00,1.0,6,Saturday
8,BTS-Silom,back,S04,Saint Louis,S03,Chong Nonsi,06:35:00,06:37:00,2.0,6,Saturday
8,BTS-Silom,back,S03,Chong Nonsi,S02,Sala Daeng,06:37:00,06:39:00,2.0,6,Saturday
8,BTS-Silom,back,S02,Sala Daeng,S01,Ratchadamri,06:39:00,06:42:00,3.0,6,Saturday
8,BTS-Silom,back,S01,Ratchadamri,CEN_SI,Siam,06:42:00,06:44:00,2.0,6,Saturday
8,BTS-Silom,back,CEN_SI,Siam,W01,National Stadium,06:44:00,06:45:00,1.0,6,Saturday
9,BTS-Silom,back,S12,Bang Wa,S11,Wutthakat,06:27:00,06:29:00,2.0,6,Saturday
9,BTS-Silom,back,S11,Wutthakat,S10,Talat Phlu,06:29:00,06:31:00,2.0,6,Saturday
9,BTS-Silom,back,S10,Talat Phlu,S09,Pho Nimit,06:31:00,06:33:00,2.0,6,Saturday
9,BTS-Silom,back,S09,Pho Nimit,S08,Wongwian Yai,06:33:00,06:35:00,2.0,6,Saturday
9,BTS-Silom,back,S08,Wongwian Yai,S07,Krung Thon Buri,06:35:00,06:36:00,1.0,6,Saturday
9,BTS-Silom,back,S07,Krung Thon Buri,S06,Saphan Taksin,06:36:00,06:38:00,2.0,6,Saturday
9,BTS-Silom,back,S06,Saphan Taksin,S05,Surasak,06:38:00,06:41:00,3.0,6,Saturday
9,BTS-Silom,back,S05,Surasak,S04,Saint Louis,06:41:00,06:42:00,1.0,6,Saturday
9,BTS-Silom,back,S04,Saint Louis,S03,Chong Nonsi,06:42:00,06:44:00,2.0,6,Saturday
9,BTS-Silom,back,S03,Chong Nonsi,S02,Sala Daeng,06:44:00,06:46:00,2.0,6,Saturday
9,BTS-Silom,back,S02,Sala Daeng,S01,Ratchadamri,06:46:00,06:49:00,3.0,6,Saturday
