train_num,route_id,direction,sid1,sname1,sid2,sname2,ts1,ts2,mins,hrs,day_of_week
1,MRT-P,back,PP16,Tao Poon,PP15,Bang Son,06:00:00,06:06:00,6.0,6,Saturday
1,MRT-P,back,PP15,Bang Son,PP14,Wong Sawang,06:06:00,06:08:00,2.0,6,Saturday
1,MRT-P,back,PP14,Wong Sawang,PP13,Yaek Tiwanon,06:08:00,06:11:00,3.0,6,Saturday
1,MRT-P,back,PP13,Yaek Tiwanon,PP12,Ministry of Public Health,06:11:00,06:14:00,3.0,6,Saturday
1,MRT-P,back,PP12,Ministry of Public Health,PP11,Nonthaburi Civic Center,06:14:00,06:17:00,3.0,6,Saturday
1,MRT-P,back,PP11,Nonthaburi Civic Center,PP10,Bang Krasor,06:17:00,06:19:00,2.0,6,Saturday
1,MRT-P,back,PP10,Bang Krasor,PP09,Yaek Nonthaburi 1,06:19:00,06:21:00,2.0,6,Saturday
1,MRT-P,back,PP09,Yaek Nonthaburi 1,PP08,Phra Nang Klao Bridge,06:21:00,06:23:00,2.0,6,Saturday
1,MRT-P,back,PP08,Phra Nang Klao Bridge,PP07,Sai Ma,06:23:00,06:26:00,3.0,6,Saturday
1,MRT-P,back,PP07,Sai Ma,PP06,Bang Rak Noi Tha It,06:26:00,06:28:00,2.0,6,Saturday
1,MRT-P,back,PP06,Bang Rak Noi Tha It,PP05,Bang Rak Yai,06:28:00,06:30:00,2.0,6,Saturday
1,MRT-P,back,PP05,Bang Rak Yai,PP04,Bang Phlu,06:30:00,06:32:00,2.0,6,Saturday
1,MRT-P,back,PP04,Bang Phlu,PP03,Sam Yaek Bang Yai,06:32:00,06:34:00,2.0,6,Saturday
1,MRT-P,back,PP03,Sam Yaek Bang Yai,PP02,Talad Bang Yai,06:34:00,06:37:00,3.0,6,Saturday
1,MRT-P,back,PP02,Talad Bang Yai,PP01,Khlong Bang Phai,06:37:00,06:40:00,3.0,6,Saturday
2,MRT-P,back,PP16,Tao Poon,PP15,Bang Son,06:09:00,06:15:00,6.0,6,Saturday
2,MRT-P,back,PP15,Bang Son,PP14,Wong Sawang,06:15:00,06:17:00,2.0,6,Saturday
2,MRT-P,back,PP14,Wong Sawang,PP13,Yaek Tiwanon,06:17:00,06:20:00,3.0,6,Saturday
2,MRT-P,back,PP13,Yaek Tiwanon,PP12,Ministry of Public Health,06:20:00,06:23:00,3.0,6,Saturday
2,MRT-P,back,PP12,Ministry of Public Health,PP11,Nonthaburi Civic Center,06:23:00,06:26:00,3.0,6,Saturday
2,MRT-P,back,PP11,Nonthaburi Civic Center,PP10,Bang Krasor,06:26:00,06:28:00,2.0,6,Saturday
2,MRT-P,back,PP10,Bang Krasor,PP09,Yaek Nonthaburi 1,06:28:00,06:30:00,2.0,6,Saturday
2,MRT-P,back,PP09,Yaek Nonthaburi 1,PP08,Phra Nang Klao Bridge,06:30:00,06:32:00,2.0,6,Saturday
2,MRT-P,back,PP08,Phra Nang Klao Bridge,PP07,Sai Ma,06:32:00,06:35:00,3.0,6,Saturday
2,MRT-P,back,PP07,Sai Ma,PP06,Bang Rak Noi Tha It,06:35:00,06:37:00,2.0,6,Saturday
