train_num,route_id,direction,sid1,sname1,sid2,sname2,ts1,ts2,mins,hrs,day_of_week
1,MRT-Y,go,YL01,Lat Phrao,YL02,Phawana,05:30:00,05:33:00,3.0,5,Monday
1,MRT-Y,go,YL02,Phawana,YL03,Chok Chai 4,05:33:00,05:36:00,3.0,5,Monday
1,MRT-Y,go,YL03,Chok Chai 4,YL04,Lat Phrao 71,05:36:00,05:39:00,3.0,5,Monday
1,MRT-Y,go,YL04,Lat Phrao 71,YL05,Lat Phrao 83,05:39:00,05:42:00,3.0,5,Monday
1,MRT-Y,go,YL05,Lat Phrao 83,YL06,Mahat Thai,05:42:00,05:45:00,3.0,5,Monday
1,MRT-Y,go,YL06,Mahat Thai,YL07,Lat Phrao 101,05:45:00,05:48:00,3.0,5,Monday
1,MRT-Y,go,YL07,Lat Phrao 101,YL08,Bang Kapi,05:48:00,05:51:00,3.0,5,Monday
1,MRT-Y,go,YL08,Bang Kapi,YL09,Yaek Lam Sali,05:51:00,05:53:00,2.0,5,Monday
1,MRT-Y,go,YL09,Yaek Lam Sali,YL10,Si Kritha,05:53:00,05:56:00,3.0,5,Monday
1,MRT-Y,go,YL10,Si Kritha,YL11,Hua Mak,05:56:00,05:59:00,3.0,5,Monday
1,MRT-Y,go,YL11,Hua Mak,YL12,Kalantan,05:59:00,06:01:00,2.0,5,Monday
1,MRT-Y,go,YL12,Kalantan,YL13,Si Nut,06:01:00,06:03:00,2.0,6,Monday
1,MRT-Y,go,YL13,Si Nut,YL14,Srinagarindra 38,06:03:00,06:05:00,2.0,6,Monday
1,MRT-Y,go,YL14,Srinagarindra 38,YL15,Suan Luang Rama IX,06:05:00,06:08:00,3.0,6,Monday
1,MRT-Y,go,YL15,Suan Luang Rama IX,YL16,Si Udom,06:08:00,06:11:00,3.0,6,Monday
1,MRT-Y,go,YL16,Si Udom,YL17,Si Iam,06:11:00,06:13:00,2.0,6,Monday
1,MRT-Y,go,YL17,Si Iam,YL18,Si La Salle,06:13:00,06:17:00,4.0,6,Monday
1,MRT-Y,go,YL18,Si La Salle,YL19,Si Bearing,06:17:00,06:19:00,2.0,6,Monday
1,MRT-Y,go,YL19,Si Bearing,YL20,Si Dan,06:19:00,06:21:00,2.0,6,Monday
1,MRT-Y,go,YL20,Si Dan,YL21,Si Thepha,06:21:00,06:23:00,2.0,6,Monday
1,MRT-Y,go,YL21,Si Thepha,YL22,Thipphawan,06:23:00,06:26:00,3.0,6,Monday
1,MRT-Y,go,YL22,Thipphawan,YL23,Samrong,06:26:00,06:29:00,3.0,6,Monday
2,MRT-Y,go,YL01,Lat Phrao,YL02,Phawana,05:40:00,05:43:00,3.0,5,Monday
2,MRT-Y,go,YL02,Phawana,YL03,Chok Chai 4,05:43:00,05:46:00,3.0,5,Monday
2,MRT-Y,go,YL03,Chok Chai 4,YL04,Lat Phrao 71,05:46:00,05:49:00,3.0,5,Monday
2,MRT-Y,go,YL04,Lat Phrao 71,YL05,Lat Phrao 83,05:49:00,05:52:00,3.0,5,Monday
2,MRT-Y,go,YL05,Lat Phrao 83,YL06,Mahat Thai,05:52:00,05:55:00,3.0,5,Monday
2,MRT-Y,go,YL06,Mahat Thai,YL07,Lat Phrao 101,05:55:00,05:58:00,3.0,5,Monday
2,MRT-Y,go,YL07,Lat Phrao 101,YL08,Bang Kapi,05:58:00,06:01:00,3.0,5,Monday
2,MRT-Y,go,YL08,Bang Kapi,YL09,Yaek Lam Sali,06:01:00,06:03:00,2.0,6,Monday
2,MRT-Y,go,YL09,Yaek Lam Sali,YL10,Si Kritha,06:03:00,06:06:00,3.0,6,Monday
2,MRT-Y,go,YL10,Si Kritha,YL11,Hua Mak,06:06:00,06:09:00,3.0,6,Monday
2,MRT-Y,go,YL11,Hua Mak,YL12,Kalantan,06:09:00,06:11:00,2.0,6,Monday
2,MRT-Y,go,YL12,Kalantan,YL13,Si Nut,06:11:00,06:13:00,2.0,6,Monday
2,MRT-Y,go,YL13,Si Nut,YL14,Srinagarindra 38,06:13:00,06:15:00,2.0,6,Monday
2,MRT-Y,go,YL14,Srinagarindra 38,YL15,Suan Luang Rama IX,06:15:00,06:18:00,3.0,6,Monday
2,MRT-Y,go,YL15,Suan Luang Rama IX,YL16,Si Udom,06:18:00,06:21:00,3.0,6,Monday
2,MRT-Y,go,YL16,Si Udom,YL17,Si Iam,06:21:00,06:23:00,2.0,6,Monday
2,MRT-Y,go,YL17,Si Iam,YL18,Si La Salle,06:23:00,06:27:00,4.0,6,Monday
2,MRT-Y,go,YL18,Si La Salle,YL19,Si Bearing,06:27:00,06:29:00,2.0,6,Monday
2,MRT-Y,go,YL19,Si Bearing,YL20,Si Dan,06:29:00,06:31:00,2.0,6,Monday
2,MRT-Y,go,YL20,Si Dan,YL21,Si Thepha,06:31:00,06:33:00,2.0,6,Monday
2,MRT-Y,go,YL21,Si Thepha,YL22,Thipphawan,06:33:00,06:36:00,3.0,6,Monday
2,MRT-Y,go,YL22,Thipphawan,YL23,Samrong,06:36:00,06:39:00,3.0,6,Monday
3,MRT-Y,go,YL01,Lat Phrao,YL02,Phawana,05:50:00,05:53:00,3.0,5,Monday
3,MRT-Y,go,YL02,Phawana,YL03,Chok Chai 4,05:53:00,05:56:00,3.0,5,Monday
