loc,lat,lon
ศูนย์ราชการนนทบุรี สถานีรถไฟรางเดี่ยว บางกระสอ อำเภอเมืองนนทบุรี นนทบุรี 11000,13.8597915,100.518118
สถานีแคราย บางกระสอ อำเภอเมืองนนทบุรี นนทบุรี 11000,13.8625,100.52077
สนามบินน้ำ สถานีรถไฟรางเดี่ยว,13.8741832,100.5163222
MRT - Pink Line Samakkhi Station 265 ถ. ติวานนท์ ท่าทราย อำเภอปากเกร็ด นนทบุรี 11000,13.8893974,100.510519
สถานีกรมชลประทาน,13.89861,100.50712
แยกปากเกร็ด สถานีรถไฟรางเดี่ยว,13.9064372,100.5053929
เลี่ยงเมืองปากเกร็ด สถานีรถไฟรางเดี่ยว,13.90642,100.51582
สถานีรถไฟใต้ดินแจ้งวัฒนะ-ปากเกร็ด 28,13.9041,100.52918
ศรีรัช สถานีรถไฟรางเดี่ยว,13.900575,100.5398895
เมืองทองธานี สถานีรถไฟรางเดี่ยว ตำบลคลองเกลือ อำเภอปากเกร็ด นนทบุรี 11120,13.8974836,100.548324
แจ้งวัฒนะ 14 สถานีรถไฟรางเดี่ยว,13.89316,100.56037
ศูนย์ราชการเฉลิมพระเกียรติ สถานีรถไฟรางเดี่ยว แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210,13.89072,100.56732
โทรคมนาคมแห่งชาติ สถานีรถไฟรางเดี่ยว แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210,13.88743,100.57579
สถานีหลักสี่(รถไฟฟ้าสายสีชมพู) 201/16 ซอย วิภาวดีรังสิต แขวงตลาดบางเขน เขตหลักสี่ กรุงเทพมหานคร 10210,13.8841078,100.5825843
ราชภัฏพระนคร สถานีรถไฟรางเดี่ยว,13.8798,100.58952
"13.874470, 100.597239",13.87448,100.59724
รามอินทรา 3 สถานีรถไฟรางเดี่ยว,13.87082,100.60286
ลาดปลาเค้า สถานีรถไฟรางเดี่ยว,13.8627,100.61794
รามอินทรา ก.ม.4 สถานีรถไฟรางเดี่ยว,13.85825,100.62618
มัยลาภ สถานีรถไฟรางเดี่ยว,13.85504,100.63222
วัชรพล สถานีรถไฟรางเดี่ยว,13.84996,100.64159
รามอินทรา ก.ม.6 สถานีรถไฟรางเดี่ยว,13.8452,100.65033
คู้บอน สถานีรถไฟรางเดี่ยว,13.84048,100.65907
รามอินทรา ก.ม.9 สถานีรถไฟรางเดี่ยว,13.83383,100.66748
วงแหวนรามอินทรา สถานีรถไฟรางเดี่ยว,13.82464,100.67704
นพรัตน์ สถานีรถไฟรางเดี่ยว,13.81657,100.68555
บางชัน สถานีรถไฟรางเดี่ยว,13.81271,100.70341
เศรษฐบุตรบำเพ็ญ สถานีรถไฟรางเดี่ยว,13.8127,100.71321
ตลาดมีนบุรี สถานีรถไฟรางเดี่ยว,13.81255,100.72565
มีนบุรี สถานีรถไฟรางเดี่ยว,13.80847,100.73266
