loc,lat,lon
สถานีรถไฟใต้ดินคลองบางไผ่,13.8923533,100.4082562
สถานีรถไฟใต้ดินตลาดบางใหญ่,13.8809779,100.4092184
สถานีรถไฟใต้ดินสามแยกบางใหญ่,13.87463,100.41943
สถานีรถไฟใต้ดินบางพลู,13.8757993,100.4337717
สถานีรถไฟใต้ดินบางรักใหญ่,13.876655,100.4449102
สถานีรถไฟใต้ดินบางรักน้อย-ท่าอิฐ,13.87467,100.45621
สถานีรถไฟใต้ดินไทรม้า,13.8705269,100.4666401
สถานีรถไฟใต้ดินสะพานพระนั่งเกล้า,13.870313,100.4803639
สถานีรถไฟใต้ดินแยกนนทบุรี 1,13.8659187,100.4942475
สถานีรถไฟใต้ดินบางกระสอ บางกระสอ อำเภอเมืองนนทบุรี นนทบุรี 11000,13.861694,100.5044336
สถานีรถไฟใต้ดินศูนย์ราชการนนทบุรี,13.8601476,100.5132409
สถานี กระทรวงสาธารณสุข 218 ถ. ติวานนท์ ตำบลตลาดขวัญ อำเภอเมืองนนทบุรี นนทบุรี 11000,13.8486409,100.5147283
สถานีรถไฟใต้ดินแยกติวานนท์,13.8396452,100.5148416
สถานี วงศ์สว่าง แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800,13.8298595,100.5264979
สถานีรถไฟใต้ดินบางซ่อน,13.8202164,100.5325217
สถานีรถไฟใต้ดินเตาปูน,13.8061278,100.530761
