loc,lat,lon
คูคต สถานีรถไฟ สายสุขุมวิท,13.932341,100.646626
สถานีแยก คปอ.,13.924983,100.625876
สถานีพิพิธภัณฑ์กองทัพอากาศ,13.917945,100.621715
สถานีโรงพยาบาลภูมิพล-อดุลยเดช,13.910722,100.617423
สถานีสะพานใหม่,13.896595,100.609132
สถานีสายหยุด,13.888442,100.604292
สถานีพหลโยธิน 59,13.882454,100.600766
หลังแตะบัตรไปเคหะฯ (ฝั่งใต้) 40 ถ. พหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,13.87518,100.5967
สถานีกรมทหารราบที่ 11,13.867528,100.59194
สถานีบางบัว,13.855994,100.585171
สถานีกรมป่าไม้,13.8502601,100.5817619
สถานีมหาวิทยาลัยเกษตรศาสตร์,13.8422956,100.5771266
สถานีเสนานิคม,13.8363067,100.5737435
รถไฟฟ้าสายสีเขียวเหนือ สถานี N11 รัชโยธิน,13.8298358,100.5698021
สถานีพหลโยธิน 24,13.82403,100.5664586
สถานีห้าแยกลาดพร้าว,13.81644,100.56195
สถานีหมอชิต,13.8024977,100.5538045
สถานีรถไฟใต้ดินสะพานควาย แขวงพญาไท เขตพญาไท กรุงเทพมหานคร 10400,13.7937663,100.5497095
สถานีรถไฟฟ้าอารีย์ แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,13.7796464,100.544598
สถานีรถรางเบาสนามเป้า,13.772642,100.542103
สถานีอนุสาวรีย์ชัยสมรภูมิ,13.762793,100.537085
สถานีรถไฟฟ้าพญาไท,13.757061,100.5338743
สถานีราชเทวี,13.7519875,100.5315773
สถานีรถไฟฟ้าสยาม แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330,13.7456058,100.5341187
สถานีรถไฟฟ้าชิดลม ถนน เพลินจิต แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,13.7440749,100.5430158
สถานีเพลินจิต,13.743044,100.548974
สถานีนานา,13.740523,100.555434
สถานีรถไฟใต้ดินอโศก ถ. กำแพงเพชร ๗ แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,13.7370587,100.5603061
สถานีพร้อมพงษ์,13.7304311,100.5696901
สถานีทองหล่อ,13.724286,100.5784296
สถานีเอกมัย,13.7195166,100.5851075
สถานีพระโขนง,13.7151737,100.5912598
สถานีรถไฟฟ้าอ่อนนุช,13.7055725,100.6009535
"Bang Chak, แขวงพระโขนงใต้ Khet Phra Khanong, Krung Thep Maha Nakhon 10260, Thailand",13.696738,100.605321
สถานีปุณณวิถี,13.6892688,100.6089881
บีทีเอสอุดมสุข เขตบางนา กรุงเทพมหานคร 10260,13.679517,100.6093088
สถานีบางนา,13.6681228,100.6046478
"แบริ่ง, เขตบางนา, แขวงบางนา,รถไฟฟ้าบีทีเอสสายสุขุมวิท (สีเขียวอ่อน), ถนนสุขุมวิท, 10260",13.6612072,100.6019066
สถานีสำโรง,13.646192,100.595653
สถานีปู่เจ้า,13.6372778,100.5920068
สถานีช้างเอราวัณ,13.62145,100.59011
สถานีรถไฟโรงเรียนนายเรือ,13.60844,100.59488
สถานีปากน้ำ,13.6020916,100.5971145
"BTS Srinagarindra, Tambon Pak Nam, Amphoe Mueang Samut Prakan, Chang Wat Samut Prakan 10270, Thailand",13.592079,100.608906
"Phraek Sa, Tambon Pak Nam, Amphoe Mueang Samut Prakan, Chang Wat Samut Prakan 10270, Thailand",13.584324,100.608027
สถานีรถไฟสายลวด,13.5776895,100.6053599
เคหะฯ ตำบล ท้ายบ้านใหม่ อำเภอเมืองสมุทรปราการ สมุทรปราการ 10280,13.567647,100.607681
