loc,lat,lon
สถานีลาดพร้าว,13.807,100.574789
สถานีรถไฟรางเดี่ยวภาวนา,13.80012,100.58424
สถานี โชคชัย 4,13.79444,100.59436
สถานีรถไฟรางเดี่ยวลาดพร้าว 71,13.78731,100.60712
สถานีรถไฟรางเดี่ยวลาดพร้าว 83,13.78366,100.61371
สถานีรถไฟรางเดี่ยวมหาดไทย,13.77806,100.62369
สถานีรถไฟรางเดี่ยวลาดพร้าว 101,13.77436,100.63036
สถานี บางกะปิ,13.769,100.63983
สถานีรถไฟรางเดี่ยวแยกลำสาลี,13.76167,100.64553
สถานีรถไฟรางเดี่ยวศรีกรีฑา,13.75075,100.6449
สถานีหัวหมาก รถไฟฟ้าสายสีเหลือง แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,13.736591,100.6412499
สถานีรถไฟรางเดี่ยวกลันตัน,13.72562,100.64175
สถานีรถไฟรางเดี่ยวศรีนุช,13.71276,100.64375
สถานีรถไฟรางเดี่ยวศรีนครินทร์ 38,13.70061,100.64658
สถานีรถไฟรางเดี่ยวสวนหลวง ร.9,13.69079,100.64709
สถานีรถไฟรางเดี่ยวศรีอุดม,13.67778,100.64606
สถานีรถไฟรางเดี่ยวศรีเอี่ยม,13.6663,100.64436
สถานีรถไฟรางเดี่ยวศรีลาซาล,13.65599,100.64231
สถานีรถไฟรางเดี่ยวศรีแบริ่ง,13.64458,100.63685
สถานีรถไฟรางเดี่ยวศรีด่าน,13.63194,100.62941
สถานีรถไฟรางเดี่ยวศรีเทพา,13.62784,100.62646
สถานีรถไฟรางเดี่ยวทิพวัล,13.63743,100.60866
สถานีรถไฟฟ้า MRT สายสีเหลือง สำโรง,13.645083,100.5965673
