sid,name_e,name_t,lat,lon
W01,National Stadium,สนามกีฬาแห่งชาติ,13.746473,100.529073
CEN_SI,Siam,สยาม,13.7456058,100.5341187
S01,Ratchadamri,ราชดำริ,13.73945,100.53944
S02,Sala Daeng,ศาลาแดง,13.7284782,100.5341135
S03,Chong Nonsi,ช่องนนทรี,13.723718,100.5295147
S04,Saint Louis,เซนต์หลุยส์,13.72091,100.52692
S05,Surasak,สุรศักดิ์,13.719228,100.5215297
S06,Saphan Taksin,สะพานตากสิน,13.7188,100.51409
S07,Krung Thon Buri,กรุงธนบุรี,13.72085,100.50272
S08,Wongwian Yai,วงเวียนใหญ่,13.72105,100.49523
S09,Pho Nimit,โพธิ์นิมิตร,13.71916,100.48584
S10,Talat Phlu,ตลาดพลู,13.7142104,100.4768237
S11,Wutthakat,วุฒากาศ,13.71307,100.46884
S12,Bang Wa,บางหว้า,13.7207756,100.4577677
