sid,name_e,name_t,lat,lon
PP01,Khlong Bang Phai,คลองบางไผ่,13.8923533,100.4082562
PP02,Talad Bang Yai,ตลาดบางใหญ่,13.8809779,100.4092184
PP03,Sam Yaek Bang Yai,สามแยกบางใหญ่,13.87463,100.41943
PP04,Bang Phlu,บางพลู,13.8757993,100.4337717
PP05,Bang Rak Yai,บางรักใหญ่,13.876655,100.4449102
PP06,Bang Rak Noi Tha It,บางรักน้อย-ท่าอิฐ,13.87467,100.45621
PP07,Sai Ma,ไทรม้า,13.8705269,100.4666401
PP08,Phra Nang Klao Bridge,สะพานพระนั่งเกล้า,13.870313,100.4803639
PP09,Yaek Nonthaburi 1,แยกนนทบุรี 1,13.8659187,100.4942475
PP10,Bang Krasor,บางกระสอ,13.861694,100.5044336
PP11,Nonthaburi Civic Center,ศูนย์ราชการนนทบุรี,13.8601476,100.5132409
PP12,Ministry of Public Health,กระทรวงสาธารณสุข,13.8486409,100.5147283
PP13,Yaek Tiwanon,แยกติวานนท์,13.8396452,100.5148416
PP14,Wong Sawang,วงศ์สว่าง,13.8298595,100.5264979
PP15,Bang Son,บางซ่อน,13.8202164,100.5325217
PP16,Tao Poon,เตาปูน,13.8061278,100.530761
