sid,name_e,name_t,lat,lon
YL01,Lat Phrao,ลาดพร้าว,13.807,100.574789
YL02,Phawana,ภาวนา,13.80012,100.58424
YL03,Chok Chai 4,โชคชัย 4,13.79444,100.59436
YL04,Lat Phrao 71,ลาดพร้าว 71,13.78731,100.60712
YL05,Lat Phrao 83,ลาดพร้าว 83,13.78366,100.61371
YL06,Mahat Thai,มหาดไทย,13.77806,100.62369
YL07,Lat Phrao 101,ลาดพร้าว 101,13.77436,100.63036
YL08,Bang Kapi,บางกะปิ,13.769,100.63983
YL09,Yaek Lam Sali,แยกลำสาลี,13.76167,100.64553
YL10,Si Kritha,ศรีกรีฑา,13.75075,100.6449
YL11,Hua Mak,หัวหมาก,13.736591,100.6412499
YL12,Kalantan,กลันตัน,13.72562,100.64175
YL13,Si Nut,ศรีนุช,13.71276,100.64375
YL14,Srinagarindra 38,ศรีนครินทร์ 38,13.70061,100.64658
YL15,Suan Luang Rama IX,สวนหลวง ร.9,13.69079,100.64709
YL16,Si Udom,ศรีอุดม,13.67778,100.64606
YL17,Si Iam,ศรีเอี่ยม,13.6663,100.64436
YL18,Si La Salle,ศรีลาซาล,13.65599,100.64231
YL19,Si Bearing,ศรีแบริ่ง,13.64458,100.63685
YL20,Si Dan,ศรีด่าน,13.63194,100.62941
YL21,Si Thepha,ศรีเทพา,13.62784,100.62646
YL22,Thipphawan,ทิพวัล,13.63743,100.60866
YL23,Samrong,สำโรง,13.645083,100.5965673
