sid,name_e,name_t
BL01,Tha Phra,ท่าพระ
BL02,Charan 13,จรัญฯ 13
BL03,Fai Chai,ไฟฉาย
BL04,Bang Khun Non,บางขุนนนท์
BL05,Bang Yi Khan,บางยี่ขัน
BL06,Sirindhorn,สิรินธร
BL07,Bang Phlat,บางพลัด
BL08,Bang O,บางอ้อ
BL09,Bang Pho,บางโพ
BL10,Tao Poon,เตาปูน
BL11,Bang Sue,บางซื่อ
BL12,Kamphaeng Phet,กำแพงเพชร
BL13,Chatuchak Park,สวนจตุจักร
BL14,Phahon Yothin,พหลโยธิน
BL15,Lat Phrao,ลาดพร้าว
BL16,Ratchadaphisek,รัชดาภิเษก
BL17,Sutthisan,สุทธิสาร
BL18,Huai Khwang,ห้วยขวาง
BL19,Thailand Cultural Centre,ศูนย์วัฒนธรรมแห่งประเทศไทย
BL20,Phra Ram 9,พระราม 9
BL21,Phetchaburi,เพชรบุรี
BL22,Sukhumvit,สุขุมวิท
BL23,Queen Sirikit National Convention Centre,ศูนย์การประชุมแห่งชาติสิริกิติ์
BL24,Khlong Toei,คลองเตย
BL25,Lumphini,ลุมพินี
BL26,Si Lom,สีลม
BL27,Sam Yan,สามย่าน
BL28,Hua Lamphong,หัวลำโพง
BL29,Wat Mangkon,วัดมังกร
BL30,Sam Yot,สามยอด
BL31,Sanam Chai,สนามไชย
BL32,Itsaraphap,อิสรภาพ
BL33,Bang Phai,บางไผ่
BL34,Bang Wa,บางหว้า
BL35,Phetkasem 48,เพชรเกษม 48
BL36,Phasi Charoen,ภาษีเจริญ
BL37,Bang Khae,บางแค
BL38,Lak Song,หลักสอง
