sid,name_e,name_t
YL01,Lat Phrao,ลาดพร้าว
YL02,Phawana,ภาวนา
YL03,Chok Chai 4,โชคชัย 4
YL04,Lat Phrao 71,ลาดพร้าว 71
YL05,Lat Phrao 83,ลาดพร้าว 83
YL06,Mahat Thai,มหาดไทย
YL07,Lat Phrao 101,ลาดพร้าว 101
YL08,Bang Kapi,บางกะปิ
YL09,Yaek Lam Sali,แยกลำสาลี
YL10,Si Kritha,ศรีกรีฑา
YL11,Hua Mak,หัวหมาก
YL12,Kalantan,กลันตัน
YL13,Si Nut,ศรีนุช
YL14,Srinagarindra 38,ศรีนครินทร์ 38
YL15,Suan Luang Rama IX,สวนหลวง ร.9
YL16,Si Udom,ศรีอุดม
YL17,Si Iam,ศรีเอี่ยม
YL18,Si La Salle,ศรีลาซาล
YL19,Si Bearing,ศรีแบริ่ง
YL20,Si Dan,ศรีด่าน
YL21,Si Thepha,ศรีเทพา
YL22,Thipphawan,ทิพวัล
YL23,Samrong,สำโรง
