route_id,path_type,direction,seq,sid,sname,lat,lon
BTS-Silom,main,go,0,W01,National Stadium,13.746473,100.529073
BTS-Silom,main,go,1,CEN_SI,Siam,13.7456058,100.5341187
BTS-Silom,main,go,2,S01,Ratchadamri,13.73945,100.53944
BTS-Silom,main,go,3,S02,Sala Daeng,13.7284782,100.5341135
BTS-Silom,main,go,4,S03,Chong Nonsi,13.723718,100.5295147
BTS-Silom,main,go,5,S04,Saint Louis,13.72091,100.52692
BTS-Silom,main,go,6,S05,Surasak,13.719228,100.5215297
BTS-Silom,main,go,7,S06,Saphan Taksin,13.7188,100.51409
BTS-Silom,main,go,8,S07,Krung Thon Buri,13.72085,100.50272
BTS-Silom,main,go,9,S08,Wongwian Yai,13.72105,100.49523
BTS-Silom,main,go,10,S09,Pho Nimit,13.71916,100.48584
BTS-Silom,main,go,11,S10,Talat Phlu,13.7142104,100.4768237
BTS-Silom,main,go,12,S11,Wutthakat,13.71307,100.46884
BTS-Silom,main,go,13,S12,Bang Wa,13.7207756,100.4577677
BTS-Silom,main,back,0,S12,Bang Wa,13.7207756,100.4577677
BTS-Silom,main,back,1,S11,Wutthakat,13.71307,100.46884
BTS-Silom,main,back,2,S10,Talat Phlu,13.7142104,100.4768237
BTS-Silom,main,back,3,S09,Pho Nimit,13.71916,100.48584
BTS-Silom,main,back,4,S08,Wongwian Yai,13.72105,100.49523
BTS-Silom,main,back,5,S07,Krung Thon Buri,13.72085,100.50272
BTS-Silom,main,back,6,S06,Saphan Taksin,13.7188,100.51409
BTS-Silom,main,back,7,S05,Surasak,13.719228,100.5215297
BTS-Silom,main,back,8,S04,Saint Louis,13.72091,100.52692
BTS-Silom,main,back,9,S03,Chong Nonsi,13.723718,100.5295147
BTS-Silom,main,back,10,S02,Sala Daeng,13.7284782,100.5341135
BTS-Silom,main,back,11,S01,Ratchadamri,13.73945,100.53944
BTS-Silom,main,back,12,CEN_SI,Siam,13.7456058,100.5341187
BTS-Silom,main,back,13,W01,National Stadium,13.746473,100.529073
