route_id,path_type,direction,seq,sid,sname,lat,lon
BTS-Sukhumvit,main,go,0,N24,Khu Khot,13.932341,100.646626
BTS-Sukhumvit,main,go,1,N23,Yaek Kor Por Aor,13.924983,100.625876
BTS-Sukhumvit,main,go,2,N22,Royal Thai Air Force Museum,13.917945,100.621715
BTS-Sukhumvit,main,go,3,N21,Bhumibol Adulyadej Hospital,13.910722,100.617423
BTS-Sukhumvit,main,go,4,N20,Saphan Mai,13.896595,100.609132
BTS-Sukhumvit,main,go,5,N19,Sai Yud,13.888442,100.604292
BTS-Sukhumvit,main,go,6,N18,Phahon Yothin 59,13.882454,100.600766
BTS-Sukhumvit,main,go,7,N17,Wat Phra Sri Mahathat,13.87518,100.5967
BTS-Sukhumvit,main,go,8,N16,11th Infantry Regiment,13.867528,100.59194
BTS-Sukhumvit,main,go,9,N15,Bang Bua,13.855994,100.585171
BTS-Sukhumvit,main,go,10,N14,Royal Forest Department,13.8502601,100.5817619
BTS-Sukhumvit,main,go,11,N13,Kasetsart University,13.8422956,100.5771266
BTS-Sukhumvit,main,go,12,N12,Sena Nikhom,13.8363067,100.5737435
BTS-Sukhumvit,main,go,13,N11,Ratchayothin,13.8298358,100.5698021
BTS-Sukhumvit,main,go,14,N10,Phahon Yothin 24,13.82403,100.5664586
BTS-Sukhumvit,main,go,15,N09,Ha Yaek Lat Phrao,13.81644,100.56195
BTS-Sukhumvit,main,go,16,N08,Mo Chit,13.8024977,100.5538045
BTS-Sukhumvit,main,go,17,N07,Saphan Khwai,13.7937663,100.5497095
BTS-Sukhumvit,main,go,18,N05,Ari,13.7796464,100.544598
BTS-Sukhumvit,main,go,19,N04,Sanam Pao,13.772642,100.542103
BTS-Sukhumvit,main,go,20,N03,Victory Monument,13.762793,100.537085
BTS-Sukhumvit,main,go,21,N02,Phaya Thai,13.757061,100.5338743
BTS-Sukhumvit,main,go,22,N01,Ratchathewi,13.7519875,100.5315773
BTS-Sukhumvit,main,go,23,CEN_SU,Siam,13.7456058,100.5341187
BTS-Sukhumvit,main,go,24,E01,Chit Lom,13.7440749,100.5430158
BTS-Sukhumvit,main,go,25,E02,Phloen Chit,13.743044,100.548974
BTS-Sukhumvit,main,go,26,E03,Nana,13.740523,100.555434
BTS-Sukhumvit,main,go,27,E04,Asok,13.7370587,100.5603061
BTS-Sukhumvit,main,go,28,E05,Phrom Phong,13.7304311,100.5696901
BTS-Sukhumvit,main,go,29,E06,Thong Lo,13.724286,100.5784296
BTS-Sukhumvit,main,go,30,E07,Ekkamai,13.7195166,100.5851075
BTS-Sukhumvit,main,go,31,E08,Phra Khanong,13.7151737,100.5912598
BTS-Sukhumvit,main,go,32,E09,On Nut,13.7055725,100.6009535
BTS-Sukhumvit,main,go,33,E10,Bang Chak,13.696738,100.605321
BTS-Sukhumvit,main,go,34,E11,Punnawithi,13.6892688,100.6089881
BTS-Sukhumvit,main,go,35,E12,Udom Suk,13.679517,100.6093088
BTS-Sukhumvit,main,go,36,E13,Bang Na,13.6681228,100.6046478
BTS-Sukhumvit,main,go,37,E14,Bearing,13.6612072,100.6019066
BTS-Sukhumvit,main,go,38,E15,Samrong,13.646192,100.595653
BTS-Sukhumvit,main,go,39,E16,Pu Chao,13.6372778,100.5920068
BTS-Sukhumvit,main,go,40,E17,Chang Erawan,13.62145,100.59011
BTS-Sukhumvit,main,go,41,E18,Royal Thai Naval Academy,13.60844,100.59488
BTS-Sukhumvit,main,go,42,E19,Pak Nam,13.6020916,100.5971145
BTS-Sukhumvit,main,go,43,E20,Srinagarindra,13.592079,100.608906
BTS-Sukhumvit,main,go,44,E21,Phraek Sa,13.584324,100.608027
BTS-Sukhumvit,main,go,45,E22,Sai Luat,13.5776895,100.6053599
BTS-Sukhumvit,main,go,46,E23,Kheha,13.567647,100.607681
BTS-Sukhumvit,main,back,0,E23,Kheha,13.567647,100.607681
BTS-Sukhumvit,main,back,1,E22,Sai Luat,13.5776895,100.6053599
BTS-Sukhumvit,main,back,2,E21,Phraek Sa,13.584324,100.608027
BTS-Sukhumvit,main,back,3,E20,Srinagarindra,13.592079,100.608906
BTS-Sukhumvit,main,back,4,E19,Pak Nam,13.6020916,100.5971145
BTS-Sukhumvit,main,back,5,E18,Royal Thai Naval Academy,13.60844,100.59488
BTS-Sukhumvit,main,back,6,E17,Chang Erawan,13.62145,100.59011
BTS-Sukhumvit,main,back,7,E16,Pu Chao,13.6372778,100.5920068
BTS-Sukhumvit,main,back,8,E15,Samrong,13.646192,100.595653
BTS-Sukhumvit,main,back,9,E14,Bearing,13.6612072,100.6019066
BTS-Sukhumvit,main,back,10,E13,Bang Na,13.6681228,100.6046478
BTS-Sukhumvit,main,back,11,E12,Udom Suk,13.679517,100.6093088
BTS-Sukhumvit,main,back,12,E11,Punnawithi,13.6892688,100.6089881
BTS-Sukhumvit,main,back,13,E10,Bang Chak,13.696738,100.605321
BTS-Sukhumvit,main,back,14,E09,On Nut,13.7055725,100.6009535
BTS-Sukhumvit,main,back,15,E08,Phra Khanong,13.7151737,100.5912598
BTS-Sukhumvit,main,back,16,E07,Ekkamai,13.7195166,100.5851075
BTS-Sukhumvit,main,back,17,E06,Thong Lo,13.724286,100.5784296
BTS-Sukhumvit,main,back,18,E05,Phrom Phong,13.7304311,100.5696901
BTS-Sukhumvit,main,back,19,E04,Asok,13.7370587,100.5603061
BTS-Sukhumvit,main,back,20,E03,Nana,13.740523,100.555434
BTS-Sukhumvit,main,back,21,E02,Phloen Chit,13.743044,100.548974
BTS-Sukhumvit,main,back,22,E01,Chit Lom,13.7440749,100.5430158
BTS-Sukhumvit,main,back,23,CEN_SU,Siam,13.7456058,100.5341187
BTS-Sukhumvit,main,back,24,N01,Ratchathewi,13.7519875,100.5315773
BTS-Sukhumvit,main,back,25,N02,Phaya Thai,13.757061,100.5338743
BTS-Sukhumvit,main,back,26,N03,Victory Monument,13.762793,100.537085
BTS-Sukhumvit,main,back,27,N04,Sanam Pao,13.772642,100.542103
BTS-Sukhumvit,main,back,28,N05,Ari,13.7796464,100.544598
BTS-Sukhumvit,main,back,29,N07,Saphan Khwai,13.7937663,100.5497095
BTS-Sukhumvit,main,back,30,N08,Mo Chit,13.8024977,100.5538045
BTS-Sukhumvit,main,back,31,N09,Ha Yaek Lat Phrao,13.81644,100.56195
BTS-Sukhumvit,main,back,32,N10,Phahon Yothin 24,13.82403,100.5664586
BTS-Sukhumvit,main,back,33,N11,Ratchayothin,13.8298358,100.5698021
BTS-Sukhumvit,main,back,34,N12,Sena Nikhom,13.8363067,100.5737435
BTS-Sukhumvit,main,back,35,N13,Kasetsart University,13.8422956,100.5771266
BTS-Sukhumvit,main,back,36,N14,Royal Forest Department,13.8502601,100.5817619
BTS-Sukhumvit,main,back,37,N15,Bang Bua,13.855994,100.585171
BTS-Sukhumvit,main,back,38,N16,11th Infantry Regiment,13.867528,100.59194
BTS-Sukhumvit,main,back,39,N17,Wat Phra Sri Mahathat,13.87518,100.5967
BTS-Sukhumvit,main,back,40,N18,Phahon Yothin 59,13.882454,100.600766
BTS-Sukhumvit,main,back,41,N19,Sai Yud,13.888442,100.604292
BTS-Sukhumvit,main,back,42,N20,Saphan Mai,13.896595,100.609132
BTS-Sukhumvit,main,back,43,N21,Bhumibol Adulyadej Hospital,13.910722,100.617423
BTS-Sukhumvit,main,back,44,N22,Royal Thai Air Force Museum,13.917945,100.621715
BTS-Sukhumvit,main,back,45,N23,Yaek Kor Por Aor,13.924983,100.625876
BTS-Sukhumvit,main,back,46,N24,Khu Khot,13.932341,100.646626
