route_id,path_type,direction,seq,sid,sname,lat,lon
MRT-P,main,go,0,PP01,Khlong Bang Phai,13.8923533,100.4082562
MRT-P,main,go,1,PP02,Talad Bang Yai,13.8809779,100.4092184
MRT-P,main,go,2,PP03,Sam Yaek Bang Yai,13.87463,100.41943
MRT-P,main,go,3,PP04,Bang Phlu,13.8757993,100.4337717
MRT-P,main,go,4,PP05,Bang Rak Yai,13.876655,100.4449102
MRT-P,main,go,5,PP06,Bang Rak Noi Tha It,13.87467,100.45621
MRT-P,main,go,6,PP07,Sai Ma,13.8705269,100.4666401
MRT-P,main,go,7,PP08,Phra Nang Klao Bridge,13.870313,100.4803639
MRT-P,main,go,8,PP09,Yaek Nonthaburi 1,13.8659187,100.4942475
MRT-P,main,go,9,PP10,Bang Krasor,13.861694,100.5044336
MRT-P,main,go,10,PP11,Nonthaburi Civic Center,13.8601476,100.5132409
MRT-P,main,go,11,PP12,Ministry of Public Health,13.8486409,100.5147283
MRT-P,main,go,12,PP13,Yaek Tiwanon,13.8396452,100.5148416
MRT-P,main,go,13,PP14,Wong Sawang,13.8298595,100.5264979
MRT-P,main,go,14,PP15,Bang Son,13.8202164,100.5325217
MRT-P,main,go,15,PP16,Tao Poon,13.8061278,100.530761
MRT-P,main,back,0,PP16,Tao Poon,13.8061278,100.530761
MRT-P,main,back,1,PP15,Bang Son,13.8202164,100.5325217
MRT-P,main,back,2,PP14,Wong Sawang,13.8298595,100.5264979
MRT-P,main,back,3,PP13,Yaek Tiwanon,13.8396452,100.5148416
MRT-P,main,back,4,PP12,Ministry of Public Health,13.8486409,100.5147283
MRT-P,main,back,5,PP11,Nonthaburi Civic Center,13.8601476,100.5132409
MRT-P,main,back,6,PP10,Bang Krasor,13.861694,100.5044336
MRT-P,main,back,7,PP09,Yaek Nonthaburi 1,13.8659187,100.4942475
MRT-P,main,back,8,PP08,Phra Nang Klao Bridge,13.870313,100.4803639
MRT-P,main,back,9,PP07,Sai Ma,13.8705269,100.4666401
MRT-P,main,back,10,PP06,Bang Rak Noi Tha It,13.87467,100.45621
MRT-P,main,back,11,PP05,Bang Rak Yai,13.876655,100.4449102
MRT-P,main,back,12,PP04,Bang Phlu,13.8757993,100.4337717
MRT-P,main,back,13,PP03,Sam Yaek Bang Yai,13.87463,100.41943
MRT-P,main,back,14,PP02,Talad Bang Yai,13.8809779,100.4092184
MRT-P,main,back,15,PP01,Khlong Bang Phai,13.8923533,100.4082562
