route_id,path_type,direction,seq,sid,sname,lat,lon
MRT-B,main,go,0,BL01,Tha Phra,13.729653,100.474163
MRT-B,main,go,1,BL02,Charan 13,13.73961,100.47077
MRT-B,main,go,2,BL03,Fai Chai,13.7550791,100.4692286
MRT-B,main,go,3,BL04,Bang Khun Non,13.7631942,100.473206
MRT-B,main,go,4,BL05,Bang Yi Khan,13.7774358,100.4852436
MRT-B,main,go,5,BL06,Sirindhorn,13.7840083,100.4934932
MRT-B,main,go,6,BL07,Bang Phlat,13.7924323,100.5050274
MRT-B,main,go,7,BL08,Bang O,13.7989,100.50968
MRT-B,main,go,8,BL09,Bang Pho,13.806386,100.521042
MRT-B,main,go,9,BL10,Tao Poon,13.8061278,100.530761
MRT-B,main,go,10,BL11,Bang Sue,13.80313166,100.5393519
MRT-B,main,go,11,BL12,Kamphaeng Phet,13.7977896,100.5475589
MRT-B,main,go,12,BL13,Chatuchak Park,13.80257,100.55378
MRT-B,main,go,13,BL14,Phahon Yothin,13.8142366,100.5601484
MRT-B,main,go,14,BL15,Lat Phrao,13.8061019,100.5736521
MRT-B,main,go,15,BL16,Ratchadaphisek,13.799141,100.574613
MRT-B,main,go,16,BL17,Sutthisan,13.7898476,100.5741786
MRT-B,main,go,17,BL18,Huai Khwang,13.778505,100.573645
MRT-B,main,go,18,BL19,Thailand Cultural Centre,13.7663,100.57026
MRT-B,main,go,19,BL20,Phra Ram 9,13.7577699,100.5651878
MRT-B,main,go,20,BL21,Phetchaburi,13.7485118,100.563266
MRT-B,main,go,21,BL22,Sukhumvit,13.73845642,100.561462
MRT-B,main,go,22,BL23,Queen Sirikit National Convention Centre,13.7231519,100.5601019
MRT-B,main,go,23,BL24,Khlong Toei,13.722292,100.553916
MRT-B,main,go,24,BL25,Lumphini,13.725769,100.545678
MRT-B,main,go,25,BL26,Si Lom,13.729534,100.536631
MRT-B,main,go,26,BL27,Sam Yan,13.7323496,100.5299928
MRT-B,main,go,27,BL28,Hua Lamphong,13.73754,100.517073
MRT-B,main,go,28,BL29,Wat Mangkon,13.74204,100.51021
MRT-B,main,go,29,BL30,Sam Yot,13.7472014,100.5022359
MRT-B,main,go,30,BL31,Sanam Chai,13.7438643,100.4946614
MRT-B,main,go,31,BL32,Itsaraphap,13.7383192,100.4852881
MRT-B,main,go,32,BL01,Tha Phra,13.729653,100.474163
MRT-B,main,go,33,BL33,Bang Phai,13.724613,100.465214
MRT-B,main,go,34,BL34,Bang Wa,13.7203785,100.4571807
MRT-B,main,go,35,BL35,Phetkasem 48,13.7155209,100.4456141
MRT-B,main,go,36,BL36,Phasi Charoen,13.7128776,100.4341782
MRT-B,main,go,37,BL37,Bang Khae,13.7119364,100.4223971
MRT-B,main,go,38,BL38,Lak Song,13.7109552,100.4100241
MRT-B,main,back,0,BL38,Lak Song,13.7109552,100.4100241
MRT-B,main,back,1,BL37,Bang Khae,13.7119364,100.4223971
MRT-B,main,back,2,BL36,Phasi Charoen,13.7128776,100.4341782
MRT-B,main,back,3,BL35,Phetkasem 48,13.7155209,100.4456141
MRT-B,main,back,4,BL34,Bang Wa,13.7203785,100.4571807
MRT-B,main,back,5,BL33,Bang Phai,13.724613,100.465214
MRT-B,main,back,6,BL01,Tha Phra,13.729653,100.474163
MRT-B,main,back,7,BL32,Itsaraphap,13.7383192,100.4852881
MRT-B,main,back,8,BL31,Sanam Chai,13.7438643,100.4946614
MRT-B,main,back,9,BL30,Sam Yot,13.7472014,100.5022359
MRT-B,main,back,10,BL29,Wat Mangkon,13.74204,100.51021
MRT-B,main,back,11,BL28,Hua Lamphong,13.73754,100.517073
MRT-B,main,back,12,BL27,Sam Yan,13.7323496,100.5299928
MRT-B,main,back,13,BL26,Si Lom,13.729534,100.536631
MRT-B,main,back,14,BL25,Lumphini,13.725769,100.545678
MRT-B,main,back,15,BL24,Khlong Toei,13.722292,100.553916
MRT-B,main,back,16,BL23,Queen Sirikit National Convention Centre,13.7231519,100.5601019
MRT-B,main,back,17,BL22,Sukhumvit,13.73845642,100.561462
MRT-B,main,back,18,BL21,Phetchaburi,13.7485118,100.563266
MRT-B,main,back,19,BL20,Phra Ram 9,13.7577699,100.5651878
MRT-B,main,back,20,BL19,Thailand Cultural Centre,13.7663,100.57026
MRT-B,main,back,21,BL18,Huai Khwang,13.778505,100.573645
MRT-B,main,back,22,BL17,Sutthisan,13.7898476,100.5741786
MRT-B,main,back,23,BL16,Ratchadaphisek,13.799141,100.574613
MRT-B,main,back,24,BL15,Lat Phrao,13.8061019,100.5736521
MRT-B,main,back,25,BL14,Phahon Yothin,13.8142366,100.5601484
MRT-B,main,back,26,BL13,Chatuchak Park,13.80257,100.55378
MRT-B,main,back,27,BL12,Kamphaeng Phet,13.7977896,100.5475589
MRT-B,main,back,28,BL11,Bang Sue,13.80313166,100.5393519
MRT-B,main,back,29,BL10,Tao Poon,13.8061278,100.530761
MRT-B,main,back,30,BL09,Bang Pho,13.806386,100.521042
MRT-B,main,back,31,BL08,Bang O,13.7989,100.50968
MRT-B,main,back,32,BL07,Bang Phlat,13.7924323,100.5050274
MRT-B,main,back,33,BL06,Sirindhorn,13.7840083,100.4934932
MRT-B,main,back,34,BL05,Bang Yi Khan,13.7774358,100.4852436
MRT-B,main,back,35,BL04,Bang Khun Non,13.7631942,100.473206
MRT-B,main,back,36,BL03,Fai Chai,13.7550791,100.4692286
MRT-B,main,back,37,BL02,Charan 13,13.73961,100.47077
MRT-B,main,back,38,BL01,Tha Phra,13.729653,100.474163
