train_num,route_id,direction,sid1,sname1,sid2,sname2,ts1,ts2,mins,hrs,day_of_week
1,MRT-P,go,PP01,Khlong Bang Phai,PP02,Talad Bang Yai,05:30:00,05:34:00,4.0,5,Monday
1,MRT-P,go,PP02,Talad Bang Yai,PP03,Sam Yaek Bang Yai,05:34:00,05:37:00,3.0,5,Monday
1,MRT-P,go,PP03,Sam Yaek Bang Yai,PP04,Bang Phlu,05:37:00,05:39:00,2.0,5,Monday
1,MRT-P,go,PP04,Bang Phlu,PP05,Bang Rak Yai,05:39:00,05:41:00,2.0,5,Monday
1,MRT-P,go,PP05,Bang Rak Yai,PP06,Bang Rak Noi Tha It,05:41:00,05:43:00,2.0,5,Monday
1,MRT-P,go,PP06,Bang Rak Noi Tha It,PP07,Sai Ma,05:43:00,05:45:00,2.0,5,Monday
1,MRT-P,go,PP07,Sai Ma,PP08,Phra Nang Klao Bridge,05:45:00,05:48:00,3.0,5,Monday
1,MRT-P,go,PP08,Phra Nang Klao Bridge,PP09,Yaek Nonthaburi 1,05:48:00,05:51:00,3.0,5,Monday
1,MRT-P,go,PP09,Yaek Nonthaburi 1,PP10,Bang Krasor,05:51:00,05:52:00,1.0,5,Monday
1,MRT-P,go,PP10,Bang Krasor,PP11,Nonthaburi Civic Center,05:52:00,05:54:00,2.0,5,Monday
1,MRT-P,go,PP11,Nonthaburi Civic Center,PP12,Ministry of Public Health,05:54:00,05:58:00,4.0,5,Monday
1,MRT-P,go,PP12,Ministry of Public Health,PP13,Yaek Tiwanon,05:58:00,06:00:00,2.0,5,Monday
1,MRT-P,go,PP13,Yaek Tiwanon,PP14,Wong Sawang,06:00:00,06:03:00,3.0,6,Monday
1,MRT-P,go,PP14,Wong Sawang,PP15,Bang Son,06:03:00,06:05:00,2.0,6,Monday
1,MRT-P,go,PP15,Bang Son,PP16,Tao Poon,06:05:00,06:07:00,2.0,6,Monday
2,MRT-P,go,PP01,Khlong Bang Phai,PP02,Talad Bang Yai,05:39:00,05:43:00,4.0,5,Monday
2,MRT-P,go,PP02,Talad Bang Yai,PP03,Sam Yaek Bang Yai,05:43:00,05:46:00,3.0,5,Monday
2,MRT-P,go,PP03,Sam Yaek Bang Yai,PP04,Bang Phlu,05:46:00,05:48:00,2.0,5,Monday
2,MRT-P,go,PP04,Bang Phlu,PP05,Bang Rak Yai,05:48:00,05:50:00,2.0,5,Monday
2,MRT-P,go,PP05,Bang Rak Yai,PP06,Bang Rak Noi Tha It,05:50:00,05:52:00,2.0,5,Monday
2,MRT-P,go,PP06,Bang Rak Noi Tha It,PP07,Sai Ma,05:52:00,05:54:00,2.0,5,Monday
2,MRT-P,go,PP07,Sai Ma,PP08,Phra Nang Klao Bridge,05:54:00,05:57:00,3.0,5,Monday
2,MRT-P,go,PP08,Phra Nang Klao Bridge,PP09,Yaek Nonthaburi 1,05:57:00,06:00:00,3.0,5,Monday
2,MRT-P,go,PP09,Yaek Nonthaburi 1,PP10,Bang Krasor,06:00:00,06:01:00,1.0,6,Monday
2,MRT-P,go,PP10,Bang Krasor,PP11,Nonthaburi Civic Center,06:01:00,06:03:00,2.0,6,Monday
2,MRT-P,go,PP11,Nonthaburi Civic Center,PP12,Ministry of Public Health,06:03:00,06:07:00,4.0,6,Monday
2,MRT-P,go,PP12,Ministry of Public Health,PP13,Yaek Tiwanon,06:07:00,06:09:00,2.0,6,Monday
2,MRT-P,go,PP13,Yaek Tiwanon,PP14,Wong Sawang,06:09:00,06:12:00,3.0,6,Monday
2,MRT-P,go,PP14,Wong Sawang,PP15,Bang Son,06:12:00,06:14:00,2.0,6,Monday
2,MRT-P,go,PP15,Bang Son,PP16,Tao Poon,06:14:00,06:16:00,2.0,6,Monday
3,MRT-P,go,PP01,Khlong Bang Phai,PP02,Talad Bang Yai,05:48:00,05:52:00,4.0,5,Monday
