train_num,route_id,direction,sid1,sname1,sid2,sname2,ts1,ts2,mins,hrs,day_of_week
1,ARL,back,A08,Phaya Thai,A07,Ratchaprarop,05:29:00,05:31:00,2.0,5,Saturday
1,ARL,back,A07,Ratchaprarop,A06,Makkasan,05:31:00,05:34:00,3.0,5,Saturday
1,ARL,back,A06,Makkasan,A05,Ramkhamhaeng,05:34:00,05:39:00,5.0,5,Saturday
1,ARL,back,A05,Ramkhamhaeng,A04,Hua Mak,05:39:00,05:43:00,4.0,5,Saturday
1,ARL,back,A04,Hua Mak,A03,Ban Thap Chang,05:43:00,05:47:00,4.0,5,Saturday
1,ARL,back,A03,Ban Thap Chang,A02,Lat Krabang,05:47:00,05:52:00,5.0,5,Saturday
1,ARL,back,A02,Lat Krabang,A01,Suvarnabhumi,05:52:00,05:57:00,5.0,5,Saturday
2,ARL,back,A08,Phaya Thai,A07,Ratchaprarop,05:41:00,05:43:00,2.0,5,Saturday
2,ARL,back,A07,Ratchaprarop,A06,Makkasan,05:43:00,05:46:00,3.0,5,Saturday
2,ARL,back,A06,Makkasan,A05,Ramkhamhaeng,05:46:00,05:51:00,5.0,5,Saturday
2,ARL,back,A05,Ramkhamhaeng,A04,Hua Mak,05:51:00,05:55:00,4.0,5,Saturday
2,ARL,back,A04,Hua Mak,A03,Ban Thap Chang,05:55:00,05:59:00,4.0,5,Saturday
2,ARL,back,A03,Ban Thap Chang,A02,Lat Krabang,05:59:00,06:04:00,5.0,5,Saturday
2,ARL,back,A02,Lat Krabang,A01,Suvarnabhumi,06:04:00,06:09:00,5.0,6,Saturday
3,ARL,back,A08,Phaya Thai,A07,Ratchaprarop,05:53:00,05:55:00,2.0,5,Saturday
3,ARL,back,A07,Ratchaprarop,A06,Makkasan,05:55:00,05:58:00,3.0,5,Saturday
3,ARL,back,A06,Makkasan,A05,Ramkhamhaeng,05:58:00,06:03:00,5.0,5,Saturday
3,ARL,back,A05,Ramkhamhaeng,A04,Hua Mak,06:03:00,06:07:00,4.0,6,Saturday
3,ARL,back,A04,Hua Mak,A03,Ban Thap Chang,06:07:00,06:11:00,4.0,6,Saturday
3,ARL,back,A03,Ban Thap Chang,A02,Lat Krabang,06:11:00,06:16:00,5.0,6,Saturday
3,ARL,back,A02,Lat Krabang,A01,Suvarnabhumi,06:16:00,06:21:00,5.0,6,Saturday
4,ARL,back,A08,Phaya Thai,A07,Ratchaprarop,06:05:00,06:07:00,2.0,6,Saturday
4,ARL,back,A07,Ratchaprarop,A06,Makkasan,06:07:00,06:10:00,3.0,6,Saturday
