train_num,route_id,direction,sid1,sname1,sid2,sname2,ts1,ts2,mins,hrs,day_of_week
1,MRT-B,go,BL01,Tha Phra,BL02,Charan 13,05:43:00,05:45:00,2.0,5,Monday
1,MRT-B,go,BL02,Charan 13,BL03,Fai Chai,05:45:00,05:47:00,2.0,5,Monday
1,MRT-B,go,BL03,Fai Chai,BL04,Bang Khun Non,05:47:00,05:49:00,2.0,5,Monday
1,MRT-B,go,BL04,Bang Khun Non,BL05,Bang Yi Khan,05:49:00,05:52:00,3.0,5,Monday
1,MRT-B,go,BL05,Bang Yi Khan,BL06,Sirindhorn,05:52:00,05:53:00,1.0,5,Monday
1,MRT-B,go,BL06,Sirindhorn,BL07,Bang Phlat,05:53:00,05:56:00,3.0,5,Monday
1,MRT-B,go,BL07,Bang Phlat,BL08,Bang O,05:56:00,05:57:00,1.0,5,Monday
1,MRT-B,go,BL08,Bang O,BL09,Bang Pho,05:57:00,06:00:00,3.0,5,Monday
1,MRT-B,go,BL09,Bang Pho,BL10,Tao Poon,06:00:00,06:02:00,2.0,6,Monday
1,MRT-B,go,BL10,Tao Poon,BL11,Bang Sue,06:02:00,06:05:00,3.0,6,Monday
1,MRT-B,go,BL11,Bang Sue,BL12,Kamphaeng Phet,06:05:00,06:07:00,2.0,6,Monday
1,MRT-B,go,BL12,Kamphaeng Phet,BL13,Chatuchak Park,06:07:00,06:09:00,2.0,6,Monday
1,MRT-B,go,BL13,Chatuchak Park,BL14,Phahon Yothin,06:09:00,06:11:00,2.0,6,Monday
1,MRT-B,go,BL14,Phahon Yothin,BL15,Lat Phrao,06:11:00,06:13:00,2.0,6,Monday
1,MRT-B,go,BL15,Lat Phrao,BL16,Ratchadaphisek,06:13:00,06:15:00,2.0,6,Monday
1,MRT-B,go,BL16,Ratchadaphisek,BL17,Sutthisan,06:15:00,06:17:00,2.0,6,Monday
1,MRT-B,go,BL17,Sutthisan,BL18,Huai Khwang,06:17:00,06:19:00,2.0,6,Monday
