train_num,route_id,direction,sid1,sname1,sid2,sname2,ts1,ts2,mins,hrs,day_of_week
1,MRT-P,go,PP01,Khlong Bang Phai,PP02,Talad Bang Yai,06:00:00,06:04:00,4.0,6,Saturday
1,MRT-P,go,PP02,Talad Bang Yai,PP03,Sam Yaek Bang Yai,06:04:00,06:07:00,3.0,6,Saturday
1,MRT-P,go,PP03,Sam Yaek Bang Yai,PP04,Bang Phlu,06:07:00,06:09:00,2.0,6,Saturday
1,MRT-P,go,PP04,Bang Phlu,PP05,Bang Rak Yai,06:09:00,06:11:00,2.0,6,Saturday
1,MRT-P,go,PP05,Bang Rak Yai,PP06,Bang Rak Noi Tha It,06:11:00,06:13:00,2.0,6,Saturday
1,MRT-P,go,PP06,Bang Rak Noi Tha It,PP07,Sai Ma,06:13:00,06:15:00,2.0,6,Saturday
1,MRT-P,go,PP07,Sai Ma,PP08,Phra Nang Klao Bridge,06:15:00,06:18:00,3.0,6,Saturday
1,MRT-P,go,PP08,Phra Nang Klao Bridge,PP09,Yaek Nonthaburi 1,06:18:00,06:21:00,3.0,6,Saturday
1,MRT-P,go,PP09,Yaek Nonthaburi 1,PP10,Bang Krasor,06:21:00,06:22:00,1.0,6,Saturday
1,MRT-P,go,PP10,Bang Krasor,PP11,Nonthaburi Civic Center,06:22:00,06:24:00,2.0,6,Saturday
1,MRT-P,go,PP11,Nonthaburi Civic Center,PP12,Ministry of Public Health,06:24:00,06:28:00,4.0,6,Saturday
1,MRT-P,go,PP12,Ministry of Public Health,PP13,Yaek Tiwanon,06:28:00,06:30:00,2.0,6,Saturday
1,MRT-P,go,PP13,Yaek Tiwanon,PP14,Wong Sawang,06:30:00,06:33:00,3.0,6,Saturday
1,MRT-P,go,PP14,Wong Sawang,PP15,Bang Son,06:33:00,06:35:00,2.0,6,Saturday
1,MRT-P,go,PP15,Bang Son,PP16,Tao Poon,06:35:00,06:37:00,2.0,6,Saturday
2,MRT-P,go,PP01,Khlong Bang Phai,PP02,Talad Bang Yai,06:09:00,06:13:00,4.0,6,Saturday
