sid1,sid2,dist_m
321,A08,7.98
321,N02,131.37
322,A02,24.78
323,A03,78.58
324,A06,28.66
324,BL21,343.09
325,A04,19.57
325,YL11,462.30
326,A01,451.87
327,A07,48.02
328,A05,28.42
363,BL31,403.19
364,BL30,196.45
367,N03,435.89
374,N23,363.60
376,PK25,86.28
379,BL31,233.00
391,PP10,347.40
392,BL18,417.84
395,YL10,332.58
398,PK21,122.56
405,PP14,362.64
411,E05,190.99
416,PK06,392.28
502,PP03,390.94
503,PP05,73.69
589,BL04,129.44
590,BL04,332.23
603,BL04,137.23
618,E02,264.25
619,PP07,96.89
620,PP03,397.08
629,PP15,453.24
633,BL10,330.18
633,PP16,330.18
634,BL10,381.51
634,PP16,381.51
638,PP15,440.10
688,E07,385.95
784,E07,494.11
794,N24,196.24
803,N22,256.46
840,N18,111.01
892,PK14,321.84
893,PK14,243.03
900,PK14,213.36
901,PK14,171.34
947,BL32,331.62
948,BL30,326.77
955,BL31,490.67
956,BL32,419.82
964,PP09,114.55
988,PP09,59.70
999,E09,467.05
1000,E07,253.84
1001,E06,374.06
1003,E06,288.13
1004,E05,335.09
1007,E04,404.45
1007,BL22,443.19
1008,E03,197.48
1008,E04,466.56
1010,E02,281.20
1010,E03,492.51
1014,E03,18.80
1015,E05,440.93
1016,E05,199.22
1017,E05,105.51
1018,E06,298.45
1020,E06,334.71
1021,E07,264.97
1068,BL18,366.20
1069,BL29,462.23
1223,E07,211.83
1224,E07,415.34
1240,E07,468.83
1241,E07,326.57
1242,E07,204.81
1243,E07,140.85
1271,PP14,475.71
1273,PP15,306.95
1274,PP15,124.00
1275,PP15,66.45
1276,PP15,366.94
1279,BL10,481.30
1279,PP16,481.30
1280,BL10,204.92
1280,PP16,204.92
1281,BL10,226.48
1281,PP16,226.48
1282,BL09,471.33
1283,BL09,172.32
1284,BL09,218.30
1286,BL10,282.79
1286,PP16,282.79
1287,BL10,212.93
1287,PP16,212.93
1291,PP15,323.51
1292,PP15,53.14
1293,PP15,86.13
1294,PP15,357.69
1298,BL09,97.80
1317,PK06,435.39
1392,BL31,219.56
1393,BL31,246.75
1394,BL31,367.17
1396,BL30,313.65
1397,BL31,297.70
1409,BL10,130.69
1409,PP16,130.69
1424,BL31,177.15
1437,BL10,190.80
1437,PP16,190.80
1469,A04,462.78
1471,A04,451.31
1486,YL13,203.26
1513,BL38,46.85
1537,BL32,173.78
1538,BL32,162.26
1544,E07,165.80
1547,BL32,164.86
1548,BL32,122.35
1561,CEN_SU,471.89
1561,CEN_SI,471.89
1562,CEN_SU,20.37
1562,CEN_SI,20.37
1580,W01,344.90
1581,W01,19.14
1582,CEN_SU,129.30
1582,W01,439.40
1582,CEN_SI,129.30
1583,CEN_SU,277.81
1583,CEN_SI,277.81
1584,S02,369.41
1584,S03,424.40
1588,PK07,92.33
1589,PK12,90.25
1590,PK12,317.91
1591,PK13,194.71
1592,PK14,239.11
1593,PK14,478.90
1593,PK15,427.43
1594,PK15,125.38
1595,N17,419.13
1596,N17,472.53
1596,PK16,378.03
1596,PK17,366.76
1597,PK17,181.55
1598,PK17,232.83
1602,PK18,62.33
1603,PK19,466.10
1604,PK19,23.17
1605,PK19,491.88
1605,PK20,267.80
1606,PK20,13.89
1607,PK20,332.38
1608,PK21,414.59
1609,PK22,245.39
1610,PK22,350.31
1611,PK23,301.69
1612,PK23,131.85
1617,PK23,52.53
1618,PK23,280.77
1619,PK22,380.33
1620,PK22,35.58
1621,PK22,418.86
1622,PK21,374.40
1623,PK20,298.15
1624,PK20,58.41
1625,PK19,68.25
1626,PK19,372.74
1627,PK18,97.63
1628,PK18,228.57
1630,PK17,436.72
1631,PK17,237.74
1632,PK17,159.67
1633,N17,441.26
1633,PK16,344.35
1633,PK17,407.92
1634,N17,394.51
1634,PK16,489.09
1635,PK15,96.50
